id_transaction;date;card;client;date_of_birth;passport;passport_valid_to;phone;operation_type;amount;operation_result;terminal_type;city;address
798911412;2024-05-25 12:02:15;377fc96c;1-67095;1964-06-12;1eb23f62;бессрочно;e4b68e1e;Оплата;90865.21;Успешно;WEB;Москва;Москва, ул. Коминтерна, д. 3/7
179518669;2024-05-25 12:02:16;74f70663;8-58708;1965-12-21;53caf77a;бессрочно;ddba6d04;Пополнение;1600.0;Успешно;ATM;Москва;Москва, пр. Коммуны, д. 90
932907265;2024-05-25 12:02:28;f7dc6a42;3-40598;1996-09-17;bddd04f5;2041-09-06;5c0373dd;Перевод;1311.38;Успешно;WEB;Москва;Москва, ш. Халтурина, д. 71 к. 65
995101360;2024-05-25 12:02:29;c9cc8625;8-44969;1960-07-12;8b110180;бессрочно;8ced2343;Перевод;1708.27;Успешно;WEB;Москва;Москва, пер. Блюхера, д. 507 к. 5
340443903;2024-05-25 12:02:36;a3c59393;1-64452;1967-12-03;633fa88a;бессрочно;02283aad;Пополнение;2000.0;Отказ;ATM;Кострома;Кострома, пр. Зеленый, д. 8/1
410534385;2024-05-25 12:03:29;4f726b0b;7-36298;1955-03-08;d194c249;бессрочно;ee2543c6;Снятие;800.0;Успешно;ATM;Москва;Москва, наб. Хуторская, д. 3
311653245;2024-05-25 12:03:41;2965ebb3;8-19624;1976-09-21;70366fca;бессрочно;b22f55f5;Снятие;300.0;Успешно;ATM;Москва;Москва, ул. Плеханова, д. 694 к. 5
117485141;2024-05-25 12:03:55;1752070f;9-47892;1986-08-30;f1463cf4;2031-08-19;71a23a0d;Пополнение;8500.0;Успешно;ATM;Москва;Москва, ул. Достоевского, д. 472 стр. 89
799282667;2024-05-25 12:03:59;18c215cc;1-21360;1995-10-09;fc73eda1;2040-09-27;17df00e2;Пополнение;300.0;Успешно;ATM;Казань;Казань, пер. Волкова, д. 9/1
940768873;2024-05-25 12:04:09;b951e6da;7-42337;1944-07-30;92903515;бессрочно;824e5b30;Пополнение;2600.0;Успешно;ATM;Санкт-Петербург;Санкт-Петербург, ул. Орджоникидзе, д. 76
878596811;2024-05-25 12:04:16;74f70663;8-58708;1965-12-21;53caf77a;бессрочно;ddba6d04;Пополнение;1700.0;Успешно;ATM;Москва;Москва, пр. Коммуны, д. 90
204445172;2024-05-25 12:04:24;3b31c3ca;9-44480;1953-01-26;1b8cf83a;бессрочно;ce6c91e2;Оплата;3749.83;Успешно;WEB;Москва;Москва, пр. Московский, д. 79 к. 931
522216159;2024-05-25 12:04:25;ba408331;1-99444;1948-01-20;3ecae692;бессрочно;3c1d813d;Снятие;8200.0;Отказ;ATM;Москва;Москва, бул. Абрикосовый, д. 789
231493565;2024-05-25 12:04:29;e7079ce5;6-21748;1998-12-05;67422539;2043-11-24;55b2230d;Пополнение;100.0;Отказ;ATM;Екатеринбург;Екатеринбург, ш. Лазо, д. 911 стр. 845
514334945;2024-05-25 12:04:49;72acac86;6-54727;1966-01-24;81b3de40;бессрочно;e8871ab0;Снятие;34700.0;Успешно;ATM;Москва;Москва, бул. Садовый, д. 4/4 стр. 7/1
933151629;2024-05-25 12:04:55;fff63e6c;6-88220;1990-07-25;534dfbdc;2035-07-14;e0cc4d23;Оплата;392.52;Отказ;POS;Липецк;Липецк, пр. Тульский, д. 99
502946953;2024-05-25 12:05:15;1a029091;2-99770;1991-03-26;648446c1;2036-03-14;44fa0c8c;Оплата;348016.47;Успешно;POS;Москва;Москва, ул. Заводская, д. 1 стр. 4/4
547329354;2024-05-25 12:05:17;4aba2af3;1-35823;1995-07-21;6ea1814f;2040-07-09;385109d7;Оплата;100875.83;Успешно;POS;Москва;Москва, бул. Фестивальный, д. 818 к. 2/4
283256449;2024-05-25 12:05:19;f7dc6a42;3-40598;1996-09-17;bddd04f5;2041-09-06;5c0373dd;Оплата;2739.36;Отказ;WEB;Москва;Москва, ш. Халтурина, д. 71 к. 65
794249030;2024-05-25 12:05:19;12491477;8-49975;1972-11-23;7bae2680;бессрочно;02950b50;Оплата;62875.77;Успешно;POS;Москва;Москва, пр. Кубанский, д. 967
695722421;2024-05-25 12:05:26;7e47abb1;7-68906;1980-06-15;63ce3599;2025-06-04;c51079c7;Оплата;20332.19;Успешно;POS;Москва;Москва, пр. Вавилова, д. 4
348191953;2024-05-25 12:05:30;cff9b4e0;4-90476;1968-12-24;1aaf6d08;бессрочно;c73a6760;Перевод;492.93;Отказ;WEB;Москва;Москва, пр. Рабочий, д. 3/5 к. 2
148592057;2024-05-25 12:05:37;4ea46a4e;7-53758;1956-10-20;1a8dea91;бессрочно;e63d69ec;Снятие;400.0;Успешно;ATM;Москва;Москва, ул. Профсоюзная, д. 12
927171098;2024-05-25 12:05:43;d2ebcfbb;8-24294;1997-04-21;d5a4eba2;2042-04-10;3b46ae70;Оплата;130361.46;Отказ;POS;Москва;Москва, пер. Вахитова, д. 7/2 стр. 51
921172474;2024-05-25 12:05:53;377fc96c;1-67095;1964-06-12;1eb23f62;бессрочно;e4b68e1e;Перевод;52771.58;Успешно;WEB;Москва;Москва, ул. Коминтерна, д. 3/7
858657849;2024-05-25 12:05:55;6,1097E+11;8-90236;1974-09-11;5b2de4fa;бессрочно;15b84ad3;Оплата;1631.5;Успешно;POS;Москва;Москва, ш. Азовское, д. 7/9 стр. 12
314922829;2024-05-25 12:06:01;3683b36b;5-53354;1997-05-13;06bfe2aa;2042-05-02;2fae124d;Перевод;2236.96;Успешно;WEB;Москва;Москва, пр. Новый, д. 978
643347554;2024-05-25 12:06:02;e39d40a9;8-48613;1963-12-26;74dbff0a;бессрочно;abcf1122;Снятие;42300.0;Успешно;ATM;Москва;Москва, ул. Подлесная, д. 6 стр. 95
613834239;2024-05-25 12:06:10;9fdb0572;6-60807;1993-02-18;f5a722ed;2038-02-07;64cf71c9;Оплата;220771.93;Отказ;WEB;Москва;Москва, пр. Кутузова, д. 90 стр. 54
466408166;2024-05-25 12:06:11;ce89cf9b;7-21986;1961-03-16;19b69e64;бессрочно;8c3d8018;Оплата;9288.32;Успешно;POS;Москва;Москва, пр. Нагорный, д. 1/8 к. 476
736799819;2024-05-25 12:06:20;74f70663;8-58708;1965-12-21;53caf77a;бессрочно;ddba6d04;Пополнение;2400.0;Успешно;ATM;Москва;Москва, пр. Коммуны, д. 90
436244232;2024-05-25 12:06:22;f2bf6c1c;9-64959;1962-04-09;1e0193d4;бессрочно;f0580906;Пополнение;21800.0;Успешно;ATM;Москва;Москва, алл. Большевистская, д. 6
617875913;2024-05-25 12:06:29;b9a0170a;5-36558;1999-05-21;ce4e4410;2044-05-09;b54fe781;Снятие;2100.0;Успешно;ATM;Москва;Москва, ул. Клары Цеткин, д. 1/5 к. 83
186071635;2024-05-25 12:06:41;930caf9a;9-45449;1947-08-24;58361f12;бессрочно;be31c5c8;Оплата;606.96;Успешно;POS;Казань;Казань, ш. Толстого, д. 3/8 стр. 2/3
715806676;2024-05-25 12:06:44;61b52122;3-59153;1985-07-17;86716380;2030-07-06;a3e0260f;Оплата;5025.65;Успешно;WEB;Москва;Москва, наб. Павлика Морозова, д. 590
415981706;2024-05-25 12:06:50;f063b9ab;9-95859;1961-07-25;b48c5b05;бессрочно;f829b556;Пополнение;400.0;Успешно;ATM;Москва;Москва, алл. Металлургов, д. 444 к. 106
197076650;2024-05-25 12:06:51;331bd763;1-58955;1949-10-06;f044378b;бессрочно;137d12d4;Перевод;14920.14;Успешно;WEB;Москва;Москва, алл. Дружбы, д. 99
417594906;2024-05-25 12:06:55;f7dc6a42;3-40598;1996-09-17;bddd04f5;2041-09-06;5c0373dd;Перевод;2940.5;Успешно;WEB;Москва;Москва, ш. Халтурина, д. 71 к. 65
300006001;2024-05-25 12:06:59;e5ada753;9-22426;1980-01-03;3430f1a2;2024-12-22;40025342;Перевод;361273.42;Успешно;WEB;Москва;Москва, пер. Черняховского, д. 3 стр. 89
948884090;2024-05-25 12:07:05;0ac96367;9-77896;1982-02-28;c10db435;2027-02-17;31180ae2;Перевод;343360.73;Отказ;WEB;Москва;Москва, наб. Толстого, д. 5 к. 5/3
913298647;2024-05-25 12:07:19;c9cc8625;8-44969;1960-07-12;8b110180;бессрочно;8ced2343;Перевод;1143.09;Успешно;WEB;Москва;Москва, пер. Блюхера, д. 507 к. 5
355572818;2024-05-25 12:07:33;4eb0273b;5-88795;1998-09-30;35e0320e;2043-09-19;a7bb8d95;Снятие;1900.0;Отказ;ATM;Москва;Москва, бул. Учительский, д. 520 к. 95
252518279;2024-05-25 12:07:34;28476d22;7-90333;1951-10-13;780a10ca;бессрочно;73bf7195;Снятие;600.0;Отказ;ATM;Москва;Москва, ш. Кошевого, д. 8 стр. 67
775673623;2024-05-25 12:07:34;4ee5d9bd;5-62665;1969-09-23;bd2afa8a;бессрочно;97f32053;Пополнение;4000.0;Успешно;ATM;Москва;Москва, бул. Театральный, д. 91
655075167;2024-05-25 12:07:45;f14a2192;4-58986;1973-08-15;7,516E+208;бессрочно;b6a86fe8;Оплата;352365.75;Успешно;WEB;Москва;Москва, пр. Кузнецова, д. 8 стр. 7/5
294602197;2024-05-25 12:07:52;1752070f;9-47892;1986-08-30;f1463cf4;2031-08-19;71a23a0d;Пополнение;9800.0;Успешно;ATM;Москва;Москва, ул. Достоевского, д. 472 стр. 89
217789742;2024-05-25 12:07:54;1a029091;2-99770;1991-03-26;648446c1;2036-03-14;44fa0c8c;Оплата;530667.15;Отказ;POS;Москва;Москва, ул. Заводская, д. 1 стр. 4/4
776165395;2024-05-25 12:07:55;faf56ec0;3-21155;1999-02-13;5ccde043;2044-02-02;ef841f48;Оплата;27661.09;Успешно;POS;Москва;Москва, ш. Плеханова, д. 4/7
261142153;2024-05-25 12:07:59;9fdb0572;6-60807;1993-02-18;f5a722ed;2038-02-07;64cf71c9;Перевод;167007.24;Успешно;WEB;Москва;Москва, пр. Кутузова, д. 90 стр. 54
534551902;2024-05-25 12:08:01;62094daf;6-49159;1993-12-31;8ddb0503;2038-12-20;382eb352;Снятие;4100.0;Успешно;ATM;Москва;Москва, пер. Коллективный, д. 7 к. 66
162081912;2024-05-25 12:08:05;4e24c419;7-57934;1983-01-13;08b3b5a9;2028-01-02;f5041eff;Снятие;600.0;Успешно;ATM;Москва;Москва, ул. Инженерная, д. 32 стр. 29
185546071;2024-05-25 12:08:08;6345ea86;8-27261;1996-03-10;bc121400;2041-02-27;dd01349b;Перевод;70996.83;Успешно;WEB;Москва;Москва, алл. Мельничная, д. 6/5
184641557;2024-05-25 12:08:12;95a70f01;7-46169;1978-02-22;7f496055;бессрочно;63e4486e;Перевод;527736.41;Успешно;WEB;Москва;Москва, пер. Кутузова, д. 166
183091354;2024-05-25 12:08:18;3124b50b;9-55130;1951-10-22;b60cceb3;бессрочно;e94544e4;Оплата;2483.33;Успешно;POS;Москва;Москва, ул. Урожайная, д. 44 к. 2/2
203287201;2024-05-25 12:08:46;de356a37;3-88755;1966-08-13;388f0858;бессрочно;889a6f08;Пополнение;500.0;Отказ;ATM;Нижний Новгород;Нижний Новгород, ш. Строителей, д. 515
344627339;2024-05-25 12:08:48;18f381ce;9-48112;1988-05-09;c9b0cd8a;2033-04-28;cfade81f;Пополнение;1600.0;Отказ;ATM;Москва;Москва, алл. Восточная, д. 5/3 стр. 11
310827847;2024-05-25 12:08:53;f7dc6a42;3-40598;1996-09-17;bddd04f5;2041-09-06;5c0373dd;Оплата;2128.09;Успешно;WEB;Москва;Москва, ш. Халтурина, д. 71 к. 65
509044605;2024-05-25 12:09:03;b951e6da;7-42337;1944-07-30;92903515;бессрочно;824e5b30;Пополнение;2500.0;Успешно;ATM;Санкт-Петербург;Санкт-Петербург, ул. Орджоникидзе, д. 76
360233794;2024-05-25 12:09:07;28476d22;7-90333;1951-10-13;780a10ca;бессрочно;73bf7195;Снятие;700.0;Успешно;ATM;Москва;Москва, ш. Кошевого, д. 8 стр. 67
984496360;2024-05-25 12:09:14;57ba036f;7-94971;1965-03-17;5dde9e36;бессрочно;183249fe;Пополнение;3900.0;Успешно;ATM;Москва;Москва, пер. Заречный, д. 2/3
684273639;2024-05-25 12:09:17;b08cada5;5-42163;1969-12-03;415408f2;бессрочно;9c7e1ca3;Снятие;2900.0;Успешно;ATM;Москва;Москва, ш. Мостовое, д. 6 к. 7/4
523776286;2024-05-25 12:09:23;6716bd4f;3-83922;1973-01-12;53201f0e;бессрочно;2d2df3c8;Пополнение;900.0;Отказ;ATM;Москва;Москва, алл. Казачья, д. 312
874845967;2024-05-25 12:09:34;3e123824;3-57989;1957-08-11;96c241c8;бессрочно;e6fba4e5;Оплата;29516.82;Успешно;WEB;Москва;Москва, бул. Веселый, д. 2
714244656;2024-05-25 12:09:39;61b52122;3-59153;1985-07-17;86716380;2030-07-06;a3e0260f;Оплата;6303.3;Успешно;WEB;Москва;Москва, наб. Павлика Морозова, д. 590
553881482;2024-05-25 12:09:46;72acac86;6-54727;1966-01-24;81b3de40;бессрочно;e8871ab0;Снятие;24600.0;Успешно;ATM;Москва;Москва, бул. Садовый, д. 4/4 стр. 7/1
604211984;2024-05-25 12:09:48;e7079ce5;6-21748;1998-12-05;67422539;2043-11-24;55b2230d;Пополнение;600.0;Отказ;ATM;Екатеринбург;Екатеринбург, ш. Лазо, д. 911 стр. 845
458661296;2024-05-25 12:09:55;e39d40a9;8-48613;1963-12-26;74dbff0a;бессрочно;abcf1122;Снятие;48000.0;Отказ;ATM;Москва;Москва, ул. Подлесная, д. 6 стр. 95
146769962;2024-05-25 12:10:14;de64fc9f;1-40188;1997-03-12;dd77d782;2042-03-01;ccbb217a;Оплата;139928.89;Отказ;WEB;Москва;Москва, алл. Кочубея, д. 856
552279173;2024-05-25 12:10:15;31a96a70;5-11446;1974-01-15;8b002607;бессрочно;bc1004d0;Снятие;4000.0;Успешно;ATM;Санкт-Петербург;Санкт-Петербург, пр. Народный, д. 576
859156593;2024-05-25 12:10:20;74f70663;8-58708;1965-12-21;53caf77a;бессрочно;ddba6d04;Пополнение;2100.0;Отказ;ATM;Москва;Москва, пр. Коммуны, д. 90
456947132;2024-05-25 12:10:21;d6d26cdc;3-12866;1989-12-15;2a5cdc6b;2034-12-04;73adda6f;Оплата;123676.52;Успешно;POS;Москва;Москва, бул. Омский, д. 989 к. 5
123728211;2024-05-25 12:10:30;a3c59393;1-64452;1967-12-03;633fa88a;бессрочно;02283aad;Пополнение;2900.0;Успешно;ATM;Кострома;Кострома, пр. Зеленый, д. 8/1
206493724;2024-05-25 12:10:36;48e62bac;2-90837;1954-08-30;98f26cdd;бессрочно;73bde89b;Оплата;58949.16;Успешно;POS;Москва;Москва, наб. Толстого, д. 7/3 стр. 5
848191825;2024-05-25 12:10:39;ba408331;1-99444;1948-01-20;3ecae692;бессрочно;3c1d813d;Снятие;9100.0;Успешно;ATM;Москва;Москва, бул. Абрикосовый, д. 789
743011565;2024-05-25 12:10:55;a5985db8;6-15164;2005-11-03;5fd4ce2e;2025-10-29;ce7f7734;Оплата;2195.79;Отказ;POS;Санкт-Петербург;Санкт-Петербург, наб. Серафимовича, д. 738
201037452;2024-05-25 12:10:56;c9cc8625;8-44969;1960-07-12;8b110180;бессрочно;8ced2343;Оплата;2175.52;Отказ;WEB;Москва;Москва, пер. Блюхера, д. 507 к. 5
908396012;2024-05-25 12:10:57;4eb0273b;5-88795;1998-09-30;35e0320e;2043-09-19;a7bb8d95;Снятие;1800.0;Отказ;ATM;Москва;Москва, бул. Учительский, д. 520 к. 95
651854138;2024-05-25 12:11:07;0ac96367;9-77896;1982-02-28;c10db435;2027-02-17;31180ae2;Оплата;329277.68;Отказ;WEB;Москва;Москва, наб. Толстого, д. 5 к. 5/3
401641826;2024-05-25 12:11:09;f33ff71b;1-55851;1980-10-25;31c00016;2025-10-14;607ec048;Пополнение;4300.0;Успешно;ATM;Москва;Москва, пер. Советов, д. 47 стр. 71
892443649;2024-05-25 12:11:10;21777c7e;2-26744;1952-08-25;71af31c0;бессрочно;f73d2d47;Перевод;17986.7;Успешно;WEB;Москва;Москва, алл. К.Маркса, д. 299 к. 60
765988563;2024-05-25 12:11:17;3b31c3ca;9-44480;1953-01-26;1b8cf83a;бессрочно;ce6c91e2;Перевод;3418.13;Успешно;WEB;Москва;Москва, пр. Московский, д. 79 к. 931
619311197;2024-05-25 12:11:38;d6d26cdc;3-12866;1989-12-15;2a5cdc6b;2034-12-04;73adda6f;Оплата;204373.59;Отказ;POS;Москва;Москва, бул. Омский, д. 989 к. 5
814502363;2024-05-25 12:11:42;d2ebcfbb;8-24294;1997-04-21;d5a4eba2;2042-04-10;3b46ae70;Оплата;146745.78;Успешно;POS;Москва;Москва, пер. Вахитова, д. 7/2 стр. 51
829198384;2024-05-25 12:11:49;2e3c7d01;8-47276;1979-03-01;e1881c34;бессрочно;9c4dd8c6;Перевод;2478.49;Успешно;WEB;Санкт-Петербург;Санкт-Петербург, пр. Урожайный, д. 15
316079941;2024-05-25 12:11:56;104da413;8-38345;1973-04-14;4be7f9bb;бессрочно;b0cf937a;Оплата;46836.11;Успешно;POS;Нижний Новгород;Нижний Новгород, ш. Льва Толстого, д. 8 стр. 196
928042265;2024-05-25 12:12:21;f063b9ab;9-95859;1961-07-25;b48c5b05;бессрочно;f829b556;Пополнение;800.0;Успешно;ATM;Москва;Москва, алл. Металлургов, д. 444 к. 106
872483246;2024-05-25 12:12:29;1de85dc4;2-59291;1945-08-29;cb37b407;бессрочно;69425a08;Оплата;3761.31;Отказ;POS;Москва;Москва, наб. Максима Горького, д. 3
777574163;2024-05-25 12:12:36;4ea46a4e;7-53758;1956-10-20;1a8dea91;бессрочно;e63d69ec;Снятие;200.0;Успешно;ATM;Москва;Москва, ул. Профсоюзная, д. 12
337583027;2024-05-25 12:12:38;930caf9a;9-45449;1947-08-24;58361f12;бессрочно;be31c5c8;Оплата;533.44;Успешно;POS;Казань;Казань, ш. Толстого, д. 3/8 стр. 2/3
509643953;2024-05-25 12:12:43;f14a2192;4-58986;1973-08-15;7,516E+208;бессрочно;b6a86fe8;Оплата;264686.15;Успешно;WEB;Москва;Москва, пр. Кузнецова, д. 8 стр. 7/5
682757827;2024-05-25 12:12:59;377fc96c;1-67095;1964-06-12;1eb23f62;бессрочно;e4b68e1e;Оплата;88817.35;Отказ;WEB;Москва;Москва, ул. Коминтерна, д. 3/7
725163857;2024-05-25 12:13:03;6a38af0f;1-23412;1944-05-07;8,9676E+67;бессрочно;eeda81cc;Снятие;30900.0;Отказ;ATM;Москва;Москва, наб. Вольная, д. 15 к. 5/4
260057563;2024-05-25 12:13:08;9fdb0572;6-60807;1993-02-18;f5a722ed;2038-02-07;64cf71c9;Перевод;203300.92;Успешно;WEB;Москва;Москва, пр. Кутузова, д. 90 стр. 54
848865972;2024-05-25 12:13:15;4ee5d9bd;5-62665;1969-09-23;bd2afa8a;бессрочно;97f32053;Пополнение;3700.0;Успешно;ATM;Москва;Москва, бул. Театральный, д. 91
264168796;2024-05-25 12:13:21;61b52122;3-59153;1985-07-17;86716380;2030-07-06;a3e0260f;Оплата;6248.56;Отказ;WEB;Москва;Москва, наб. Павлика Морозова, д. 590
533956360;2024-05-25 12:13:35;79e99a1c;9-55656;1963-12-31;ab452597;бессрочно;814c5217;Пополнение;7700.0;Успешно;ATM;Москва;Москва, алл. Глинки, д. 5/7 к. 7
394601923;2024-05-25 12:13:57;f063b9ab;9-95859;1961-07-25;b48c5b05;бессрочно;f829b556;Пополнение;100.0;Отказ;ATM;Москва;Москва, алл. Металлургов, д. 444 к. 106
946234235;2024-05-25 12:14:05;c9cc8625;8-44969;1960-07-12;8b110180;бессрочно;8ced2343;Перевод;1229.37;Успешно;WEB;Москва;Москва, пер. Блюхера, д. 507 к. 5
982051910;2024-05-25 12:14:13;3b31c3ca;9-44480;1953-01-26;1b8cf83a;бессрочно;ce6c91e2;Оплата;4795.96;Успешно;WEB;Москва;Москва, пр. Московский, д. 79 к. 931
841581880;2024-05-25 12:14:17;77602070;9-85329;1960-08-16;42a6a669;бессрочно;c012d830;Снятие;500.0;Успешно;ATM;Москва;Москва, ш. Горького, д. 4 стр. 6/4
852502034;2024-05-25 12:14:20;6a38af0f;1-23412;1944-05-07;8,9676E+67;бессрочно;eeda81cc;Снятие;12300.0;Успешно;ATM;Москва;Москва, наб. Вольная, д. 15 к. 5/4
983139593;2024-05-25 12:14:32;3e123824;3-57989;1957-08-11;96c241c8;бессрочно;e6fba4e5;Перевод;30345.67;Успешно;WEB;Москва;Москва, бул. Веселый, д. 2
549814659;2024-05-25 12:14:36;12491477;8-49975;1972-11-23;7bae2680;бессрочно;02950b50;Оплата;95842.73;Отказ;POS;Москва;Москва, пр. Кубанский, д. 967
856652852;2024-05-25 12:14:53;f2739552;5-36018;1959-06-28;f8a25135;бессрочно;b6e5b6f4;Пополнение;3500.0;Отказ;ATM;Москва;Москва, наб. Курская, д. 7 стр. 86
356465137;2024-05-25 12:15:01;79e99a1c;9-55656;1963-12-31;ab452597;бессрочно;814c5217;Пополнение;8800.0;Успешно;ATM;Москва;Москва, алл. Глинки, д. 5/7 к. 7
146496994;2024-05-25 12:15:10;4e24c419;7-57934;1983-01-13;08b3b5a9;2028-01-02;f5041eff;Снятие;400.0;Отказ;ATM;Москва;Москва, ул. Инженерная, д. 32 стр. 29
356083130;2024-05-25 12:15:12;4eb0273b;5-88795;1998-09-30;35e0320e;2043-09-19;a7bb8d95;Снятие;2700.0;Успешно;ATM;Москва;Москва, бул. Учительский, д. 520 к. 95
656827951;2024-05-25 12:15:22;6716bd4f;3-83922;1973-01-12;53201f0e;бессрочно;2d2df3c8;Пополнение;800.0;Отказ;ATM;Москва;Москва, алл. Казачья, д. 312
336583607;2024-05-25 12:15:23;783e170c;5-49334;1952-12-27;b97a1f9f;бессрочно;9e0944dd;Перевод;561.5;Успешно;WEB;Москва;Москва, бул. Мая 1, д. 9/5
931202126;2024-05-25 12:15:26;b9d76573;7-68471;1989-11-24;96c2f37c;2034-11-13;abbe7753;Оплата;3791.32;Отказ;POS;Москва;Москва, алл. Черемушки, д. 978 стр. 782
539393853;2024-05-25 12:15:29;6a38af0f;1-23412;1944-05-07;8,9676E+67;бессрочно;eeda81cc;Снятие;24600.0;Успешно;ATM;Москва;Москва, наб. Вольная, д. 15 к. 5/4
687759751;2024-05-25 12:15:31;3683b36b;5-53354;1997-05-13;06bfe2aa;2042-05-02;2fae124d;Оплата;1131.67;Успешно;WEB;Москва;Москва, пр. Новый, д. 978
772824590;2024-05-25 12:15:39;f33ff71b;1-55851;1980-10-25;31c00016;2025-10-14;607ec048;Пополнение;4300.0;Отказ;ATM;Москва;Москва, пер. Советов, д. 47 стр. 71
755766625;2024-05-25 12:15:54;377fc96c;1-67095;1964-06-12;1eb23f62;бессрочно;e4b68e1e;Перевод;83148.99;Отказ;WEB;Москва;Москва, ул. Коминтерна, д. 3/7
493066189;2024-05-25 12:15:54;6,1097E+11;8-90236;1974-09-11;5b2de4fa;бессрочно;15b84ad3;Оплата;2206.34;Успешно;POS;Москва;Москва, ш. Азовское, д. 7/9 стр. 12
926325706;2024-05-25 12:16:00;4ee5d9bd;5-62665;1969-09-23;bd2afa8a;бессрочно;97f32053;Пополнение;3800.0;Отказ;ATM;Москва;Москва, бул. Театральный, д. 91
546521395;2024-05-25 12:16:21;de356a37;3-88755;1966-08-13;388f0858;бессрочно;889a6f08;Пополнение;100.0;Успешно;ATM;Нижний Новгород;Нижний Новгород, ш. Строителей, д. 515
751708016;2024-05-25 12:16:38;95a70f01;7-46169;1978-02-22;7f496055;бессрочно;63e4486e;Перевод;264696.83;Успешно;WEB;Москва;Москва, пер. Кутузова, д. 166
153269356;2024-05-25 12:16:45;331bd763;1-58955;1949-10-06;f044378b;бессрочно;137d12d4;Перевод;46563.73;Отказ;WEB;Москва;Москва, алл. Дружбы, д. 99
121223491;2024-05-25 12:16:50;62094daf;6-49159;1993-12-31;8ddb0503;2038-12-20;382eb352;Снятие;4900.0;Успешно;ATM;Москва;Москва, пер. Коллективный, д. 7 к. 66
